[DEBUG] 2020-12-16 15:55:09.104 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cfg.beanvalidation.BeanValidationIntegrator].
[DEBUG] 2020-12-16 15:55:09.107 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.secure.spi.JaccIntegrator].
[DEBUG] 2020-12-16 15:55:09.113 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cache.internal.CollectionCacheInvalidator].
[INFO ] 2020-12-16 15:55:09.198 [main] Version - HHH000412: Hibernate Core {5.4.4.Final}
[DEBUG] 2020-12-16 15:55:09.200 [main] Environment - HHH000206: hibernate.properties not found
[DEBUG] 2020-12-16 15:55:09.431 [main] LocalXmlResourceResolver - Interpreting public/system identifier : [-//Hibernate/Hibernate Configuration DTD//EN] - [http://www.hibernate.org/dtd/hibernate-configuration-3.0.dtd]
[DEBUG] 2020-12-16 15:55:09.432 [main] LocalXmlResourceResolver - Recognized hibernate-configuration identifier; attempting to resolve on classpath under org/hibernate/
[DEBUG] 2020-12-16 15:55:09.443 [main] JaxbCfgProcessor - cfg.xml document did not define namespaces; wrapping in custom event reader to introduce namespace information
[DEBUG] 2020-12-16 15:55:09.767 [main] ServiceBinding - Overriding existing service binding [org.hibernate.secure.spi.JaccService]
[DEBUG] 2020-12-16 15:55:09.795 [main] RegionFactoryInitiator - Cannot default RegionFactory based on registered strategies as `[]` RegionFactory strategies were registered
[DEBUG] 2020-12-16 15:55:09.795 [main] RegionFactoryInitiator - Cache region factory : org.hibernate.cache.internal.NoCachingRegionFactory
[INFO ] 2020-12-16 15:55:09.814 [main] Version - HCANN000001: Hibernate Commons Annotations {5.1.0.Final}
[DEBUG] 2020-12-16 15:55:09.840 [main] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@151ef57f
[DEBUG] 2020-12-16 15:55:09.840 [main] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@151ef57f
[DEBUG] 2020-12-16 15:55:09.840 [main] BasicTypeRegistry - Adding type registration java.lang.Boolean -> org.hibernate.type.BooleanType@151ef57f
[DEBUG] 2020-12-16 15:55:09.841 [main] BasicTypeRegistry - Adding type registration numeric_boolean -> org.hibernate.type.NumericBooleanType@4e17913b
[DEBUG] 2020-12-16 15:55:09.841 [main] BasicTypeRegistry - Adding type registration true_false -> org.hibernate.type.TrueFalseType@3b9632d1
[DEBUG] 2020-12-16 15:55:09.842 [main] BasicTypeRegistry - Adding type registration yes_no -> org.hibernate.type.YesNoType@35e8316e
[DEBUG] 2020-12-16 15:55:09.842 [main] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@38af1bf6
[DEBUG] 2020-12-16 15:55:09.842 [main] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@38af1bf6
[DEBUG] 2020-12-16 15:55:09.842 [main] BasicTypeRegistry - Adding type registration java.lang.Byte -> org.hibernate.type.ByteType@38af1bf6
[DEBUG] 2020-12-16 15:55:09.843 [main] BasicTypeRegistry - Adding type registration character -> org.hibernate.type.CharacterType@7f08caf
